gender,date,racer_id,anon_category,anon_age,anon_time,anon_place
Male,2024-09-21,6f0a0cb180,Meet,46.0,357.6810080874827,5.0
Male,2024-09-21,748ac539c9,Meet,50.0,361.2660990431272,7.0
Male,2024-09-21,b816bcb79a,Meet,38.0,365.6896883635471,10.0
Male,2024-09-21,0729eed30d,Meet,49.0,369.4767138028285,10.0
Male,2024-09-21,e1d47fa6e6,Meet,46.0,373.1984799323743,8.0
Male,2024-09-21,59fda91659,Meet,49.0,378.2770950655487,12.0
Male,2024-09-21,443b967ba7,Meet,48.0,375.5007989113605,10.0
Male,2024-09-21,fe4508b914,Meet,44.0,382.88918547479204,12.0
Male,2024-09-21,d1538e7cd5,Meet,46.0,395.1213089591094,12.0
Male,2024-09-21,19c6399f6b,Meet,44.0,379.4933417613172,13.0
Male,2024-10-06,332fcbea15,Meet,49.0,434.8471458930687,2.0
Male,2024-10-06,27aaaeae6b,Meet,46.0,440.25994079222767,3.0
Male,2024-10-06,ccb871ad98,Meet,40.0,433.1657588495273,3.0
Male,2024-10-06,6f0a0cb180,Meet,50.0,440.8210446789248,5.0
Male,2024-10-06,a1013caf3a,Meet,51.0,435.4705411302022,3.0
Male,2024-10-06,3323edf69c,Meet,50.0,445.62179982234926,4.0
Male,2024-10-06,0729eed30d,Meet,47.0,455.9630278980188,9.0
Male,2024-10-06,443b967ba7,Meet,49.0,471.59832100467565,9.0
Male,2024-10-06,59fda91659,Meet,50.0,473.75296614167786,8.0
Male,2024-10-06,d1538e7cd5,Meet,49.0,540.0428043021037,9.0
Male,2024-10-20,97416bff22,Meet,55.0,393.66965180006224,1.0
Male,2024-10-20,332fcbea15,Meet,50.0,395.467328383712,1.0
Male,2024-10-20,27aaaeae6b,Meet,45.0,391.39076031932626,2.0
Male,2024-10-20,6f0a0cb180,Meet,47.0,358.93001888629186,6.0
Male,2024-10-20,0729eed30d,Meet,51.0,404.58140200283884,5.0
Male,2024-10-20,3323edf69c,Meet,45.0,418.99270703445166,4.0
Male,2024-10-20,59fda91659,Meet,46.0,416.4320699414126,9.0
Male,2024-10-20,d1538e7cd5,Meet,45.0,413.64804843228785,6.0
Male,2024-10-20,0533de7c5f,Meet,47.0,423.2725885019759,7.0
Male,2024-10-20,fe4508b914,Meet,43.0,429.8160376435731,11.0
Male,2024-10-20,443b967ba7,Meet,50.0,428.25469145641324,12.0
Male,2024-10-20,ccb871ad98,Meet,43.0,389.54521131786424,10.0
Male,2024-11-03,27aaaeae6b,Meet,47.0,400.78910216938516,1.0
Male,2024-11-03,6f0a0cb180,Meet,47.0,399.0160047018937,4.0
Male,2024-11-03,ccb871ad98,Meet,39.0,400.5029916166669,3.0
Male,2024-11-03,0729eed30d,Meet,49.0,404.12965505694916,6.0
Male,2024-11-03,3323edf69c,Meet,47.0,407.26888548534697,5.0
Male,2024-11-03,443b967ba7,Meet,52.0,418.70240493314327,6.0
Male,2024-11-03,0533de7c5f,Meet,44.0,429.23032079277067,8.0
Male,2024-11-03,59fda91659,Meet,46.0,432.66409237435386,6.0
Male,2024-11-17,6e60949f30,Meet,51.0,414.4645622523153,1.0
Male,2024-11-17,332fcbea15,Meet,50.0,416.72785723497105,3.0
Male,2024-11-17,a10773903f,Meet,41.0,421.73431174763516,3.0
Male,2024-11-17,9ec2ec89d1,Meet,47.0,428.87472922610164,4.0
Male,2024-11-17,748ac539c9,Meet,49.0,429.22394647759216,4.0
Male,2024-11-17,27aaaeae6b,Meet,46.0,432.4469568326277,6.0
Male,2024-11-17,4838c9834a,Meet,45.0,433.2258654065576,8.0
Male,2024-11-17,0729eed30d,Meet,45.0,428.53048323915874,7.0
Male,2024-11-17,ccb871ad98,Meet,43.0,433.8826411005515,11.0
Male,2024-11-17,97416bff22,Meet,52.0,436.861982012823,10.0
Male,2024-11-17,6f0a0cb180,Meet,51.0,443.682680255423,11.0
Male,2024-11-17,a66347c007,Meet,39.0,394.7853760952376,12.0
Male,2024-11-17,3323edf69c,Meet,49.0,440.37724911716856,15.0
Male,2024-11-17,f3998d5b25,Meet,40.0,440.07156533105297,16.0
Male,2024-11-17,443b967ba7,Meet,52.0,448.5677597090073,13.0
Male,2024-11-17,0533de7c5f,Meet,44.0,448.9499960635566,14.0
Male,2024-11-17,b816bcb79a,Meet,47.0,456.94485255001575,16.0
Male,2024-11-17,d1538e7cd5,Meet,49.0,458.63921534638126,16.0
Male,2024-11-17,5ce9ce77c9,Meet,45.0,459.27799191474566,19.0
Male,2024-11-17,59fda91659,Meet,44.0,459.58152614226805,22.0
Male,2024-11-17,186bc7e8d7,Meet,48.0,465.63415989300773,20.0
Male,2024-11-17,e1f2cf4d8b,Meet,48.0,466.53670628989573,21.0
Male,2024-11-17,fe4508b914,Meet,41.0,476.10689039057144,21.0
Male,2024-11-17,0966b2c2de,Meet,44.0,479.9621218316491,24.0
Male,2024-11-17,a00ae8dfab,Meet,48.0,427.945608396139,25.0
Male,2023-09-10,07a9c9b620,Maintain,55.0,544.7974459764588,2.0
Male,2023-09-10,f94dfdb8b8,Maintain,51.0,563.0272715006337,4.0
Male,2023-09-10,cf4248cfde,Maintain,59.0,570.5913707109564,3.0
Male,2023-09-10,4c8e7d0d40,Maintain,61.0,570.0204045669459,2.0
Male,2023-09-10,a06ff4180d,Maintain,52.0,580.2550183862277,7.0
Male,2023-09-10,73f93c3885,Maintain,55.0,582.520593480081,4.0
Male,2023-09-10,cef2d34b37,Maintain,56.0,581.3148371929723,7.0
Male,2023-09-10,c9b0fec20f,Maintain,54.0,582.5300034561412,9.0
Male,2023-09-10,c542955376,Maintain,57.0,588.1050225611691,9.0
Male,2023-09-10,7bbbd3ffcc,Maintain,50.0,599.2712940096677,9.0
Male,2023-09-10,dadec496ce,Maintain,56.0,603.7398375787955,11.0
Male,2023-09-10,72656ec648,Maintain,54.0,602.281668361869,12.0
Male,2023-09-10,786a01d0c3,Maintain,53.0,607.8362225885172,12.0
Male,2023-09-10,eefbbd795e,Maintain,62.0,606.3010946486697,12.0
Male,2023-09-10,78d143efa2,Maintain,57.0,612.7915384034928,15.0
Male,2023-09-10,c197d575c9,Maintain,53.0,625.4922254501033,16.0
Male,2023-09-10,be96818e58,Maintain,52.0,562.1912870312228,17.0
Male,2023-09-10,07a9c9b620,Maintain,57.0,548.9461006806372,3.0
Male,2023-09-10,f94dfdb8b8,Maintain,51.0,561.9844810640287,1.0
Male,2023-09-10,cf4248cfde,Maintain,59.0,573.3916187420417,1.0
Male,2023-09-10,4c8e7d0d40,Maintain,60.0,573.3074437343867,6.0
Male,2023-09-10,a06ff4180d,Maintain,49.0,576.7147505013387,3.0
Male,2023-09-10,73f93c3885,Maintain,58.0,584.3975428285769,7.0
Male,2023-09-10,cef2d34b37,Maintain,54.0,582.4882089002207,6.0
Male,2023-09-10,c9b0fec20f,Maintain,51.0,585.8116972370595,6.0
Male,2023-09-10,c542955376,Maintain,52.0,583.4059790920915,9.0
